Frame Number,X Center,Y Center,Width,Height
424,641,156,58,58
425,644,159,60,60
426,626,162,98,98
427,612,174,96,96
428,633,179,68,68
429,620,194,78,78
430,623,212,54,54
433,856,190,72,72
434,852,194,76,76
435,611,340,60,60
436,597,375,60,60
437,829,203,78,78
438,598,406,60,60
439,600,443,60,60
440,827,209,60,60
441,607,406,60,60
442,600,362,60,60
443,588,323,60,60
444,597,327,60,60
445,804,230,60,60
446,802,229,60,60
447,589,239,60,60
448,798,232,60,60
449,584,201,60,60
450,794,242,60,60
451,792,244,68,68
452,791,241,60,60
453,608,164,98,98
454,271,166,60,60
455,803,221,60,60
456,280,163,60,60
457,808,223,60,60
458,811,224,78,78
459,817,224,68,68
460,820,221,60,60
461,823,219,60,60
462,143,344,60,60
463,838,214,60,60
464,850,211,76,76
465,678,227,60,60
466,872,208,60,60
467,877,208,60,60
468,878,209,60,60
469,700,339,60,60
470,702,377,60,60
471,701,431,78,78
472,874,209,60,60
473,870,207,60,60
474,864,205,60,60
475,863,204,60,60
476,711,356,74,74
477,721,327,60,60
478,870,202,60,60
479,875,202,60,60
480,747,279,76,76
481,760,282,72,72
482,772,264,68,68
483,784,241,60,60
484,787,238,60,60
485,813,232,68,68
486,922,214,60,60
487,835,233,60,60
488,843,239,60,60
489,838,234,60,60
490,336,82,60,60
492,913,172,60,60
493,914,169,60,60
494,913,167,60,60
495,915,168,60,60
496,868,356,60,60
497,864,387,60,60
498,864,388,60,60
499,871,433,60,60
500,862,446,68,68
501,902,395,58,58
502,904,375,60,60
503,912,370,60,60
504,926,214,60,60
505,914,346,60,60
506,933,224,72,72
507,935,225,60,60
508,932,230,60,60
509,928,230,60,60
510,912,340,72,72
511,904,242,98,98
512,897,215,60,60
513,912,328,66,66
514,914,309,60,60
515,907,317,60,60
516,900,331,60,60
517,902,348,60,60
518,903,358,60,60
519,883,365,60,60
520,884,394,60,60
521,882,426,60,60
522,864,446,72,72
523,883,433,60,60
524,887,414,60,60
525,875,369,60,60
526,880,349,60,60
527,873,339,60,60
528,884,305,60,60
529,883,300,60,60
530,879,301,60,60
531,863,278,60,60
532,820,270,96,96
533,868,274,68,68
535,869,271,60,60
536,784,537,60,60
537,469,170,70,70
538,852,285,60,60
539,854,294,60,60
540,858,295,60,60
541,869,304,60,60
542,877,327,60,60
543,865,335,64,64
544,865,360,64,64
545,874,385,60,60
546,877,393,60,60
547,880,395,60,60
548,876,346,60,60
549,897,326,60,60
553,896,260,60,60
554,921,250,60,60
555,915,217,60,60
556,900,168,74,74
557,934,199,60,60
558,948,200,60,60
560,954,212,78,78
561,750,183,60,60
562,744,182,60,60
563,738,181,60,60
565,727,180,60,60
566,823,504,60,60
567,822,492,60,60
568,968,260,60,60
569,710,180,60,60
570,859,486,60,60
571,966,307,60,60
572,948,341,60,60
573,965,371,60,60
574,978,414,60,60
575,962,468,66,66
576,979,456,60,60
577,974,417,60,60
578,968,380,60,60
579,952,345,60,60
580,953,322,60,60
581,659,370,60,60
586,908,181,60,60
587,906,181,60,60
588,906,176,60,60
589,911,168,60,60
590,913,169,64,64
591,916,172,60,60
597,922,245,60,60
598,931,268,60,60
599,944,297,60,60
602,945,369,60,60
603,944,380,60,60
604,950,349,60,60
605,955,325,60,60
606,952,317,60,60
607,956,295,60,60
609,908,475,60,60
613,983,215,60,60
615,989,220,60,60
620,922,246,60,60
621,899,266,60,60
622,887,278,60,60
623,915,307,60,60
625,911,328,60,60
627,893,392,60,60
628,895,440,60,60
629,868,434,76,76
630,884,469,60,60
631,873,379,60,60
632,870,351,60,60
633,429,394,60,60
638,854,246,60,60
639,841,233,60,60
640,835,230,60,60
641,833,226,60,60
642,832,227,60,60
643,831,229,60,60
644,817,227,60,60
645,821,232,68,68
647,288,426,68,68
650,298,426,60,60
651,786,321,60,60
652,785,346,60,60
653,277,435,60,60
654,276,439,60,60
656,787,464,60,60
657,257,453,60,60
658,778,481,60,60
659,243,457,60,60
660,237,457,60,60
661,234,457,60,60
662,232,457,60,60
663,228,458,60,60
664,827,281,60,60
665,220,454,60,60
666,216,452,60,60
667,213,452,70,70
668,850,189,60,60
669,840,164,76,76
670,832,145,60,60
671,138,450,94,94
672,856,132,60,60
673,169,442,60,60
674,120,446,96,96
675,853,115,74,74
676,141,441,72,72
677,90,442,98,98
678,76,440,98,98
679,114,433,60,60
680,103,434,60,60
682,711,133,58,58
683,882,206,60,60
684,733,79,60,60
685,701,141,60,60
686,889,284,60,60
687,876,314,60,60
688,883,350,60,60
689,894,396,60,60
690,693,100,60,60
691,898,447,60,60
692,704,45,60,60
693,895,433,60,60
694,893,425,60,60
695,886,406,60,60
696,874,391,60,60
697,604,161,58,58
698,860,402,78,78
699,858,371,60,60
700,836,373,60,60
701,559,120,68,68
702,547,100,54,54
703,805,363,60,60
704,817,361,60,60
705,815,381,60,60
706,815,401,60,60
707,803,406,60,60
708,802,427,60,60
709,475,67,60,60
710,800,457,60,60
711,777,409,60,60
712,450,50,60,60
713,783,345,60,60
714,417,108,60,60
715,452,45,60,60
716,800,318,68,68
717,795,287,60,60
718,816,279,60,60
719,429,112,60,60
720,439,108,60,60
721,446,104,60,60
722,691,542,56,56
723,874,273,60,60
724,874,294,66,66
725,469,94,52,52
726,472,92,60,60
727,476,91,60,60
728,479,89,60,60
729,473,88,60,60
730,469,88,60,60
731,914,273,60,60
732,463,85,60,60
733,461,84,60,60
734,908,199,60,60
735,903,167,60,60
736,895,140,60,60
737,443,81,60,60
738,443,76,60,60
740,907,58,60,60
741,924,42,60,60
745,511,59,60,60
746,514,56,60,60
747,522,56,60,60
748,532,57,60,60
749,536,60,60,60
750,536,60,60,60
751,535,60,60,60
752,533,61,54,54
753,531,60,60,60
754,929,139,60,60
755,526,61,60,60
756,526,60,60,60
757,525,62,60,60
758,910,245,60,60
759,890,246,86,86
760,907,223,60,60
761,516,65,60,60
762,907,194,60,60
763,902,180,60,60
764,906,171,60,60
765,901,164,60,60
766,491,66,74,74
767,487,68,60,60
768,495,45,60,60
769,480,73,60,60
770,490,48,60,60
771,487,49,60,60
772,484,51,60,60
773,482,52,70,70
774,480,53,60,60
775,479,53,60,60
776,488,38,60,60
777,487,54,56,56
778,488,54,68,68
779,902,352,60,60
780,489,53,60,60
781,510,37,60,60
782,505,49,60,60
783,931,444,60,60
784,935,410,60,60
785,504,46,60,60
786,503,42,60,60
787,501,43,60,60
788,500,42,60,60
789,482,74,60,60
790,946,261,60,60
791,945,251,60,60
792,469,75,60,60
793,941,242,60,60
794,455,76,60,60
795,440,82,60,60
796,426,89,60,60
797,912,278,96,96
798,891,251,60,60
799,883,268,60,60
800,884,276,60,60
801,363,117,60,60
802,879,305,60,60
803,378,56,60,60
804,371,55,60,60
805,368,53,60,60
806,362,55,60,60
807,865,399,60,60
808,864,434,60,60
809,348,54,60,60
810,874,494,60,60
811,312,112,60,60
812,308,112,60,60
813,305,111,60,60
814,816,373,60,60
815,298,113,60,60
816,297,113,60,60
817,324,54,60,60
818,804,360,60,60
819,799,359,60,60
820,792,359,60,60
821,784,362,60,60
822,333,43,60,60
823,332,51,60,60
824,338,45,60,60
825,340,47,60,60
826,338,47,60,60
827,334,56,60,60
828,333,56,60,60
829,333,58,60,60
830,337,52,60,60
831,336,58,60,60
832,340,58,60,60
833,341,59,60,60
834,344,54,70,70
835,343,54,60,60
836,339,58,60,60
837,338,55,60,60
838,336,54,60,60
839,331,61,60,60
840,331,59,60,60
841,330,62,60,60
842,335,56,60,60
843,338,55,60,60
844,340,57,60,60
845,339,64,60,60
846,341,63,60,60
847,343,62,60,60
848,345,58,60,60
849,345,58,60,60
850,344,58,60,60
851,341,65,60,60
852,342,64,60,60
853,342,65,60,60
854,346,60,60,60
855,348,60,60,60
856,347,66,60,60
857,343,79,60,60
858,344,83,60,60
859,351,79,60,60
860,356,91,60,60
861,363,83,60,60
862,366,83,60,60
863,368,87,60,60
864,371,86,60,60
865,375,83,60,60
866,374,90,60,60
867,380,84,60,60
868,383,86,60,60
869,388,87,60,60
870,390,92,60,60
871,395,90,60,60
872,402,83,60,60
873,405,85,60,60
874,435,72,68,68
875,459,73,60,60
876,483,87,60,60
879,550,161,60,60
880,660,107,60,60
881,739,184,60,60
882,94,216,60,60
883,248,225,60,60
884,247,233,60,60
885,418,255,60,60
886,572,284,60,60
887,726,308,60,60
888,873,332,60,60
889,1009,351,60,60
890,1001,353,60,60
891,966,155,60,60
892,1086,119,60,60
893,209,394,60,60
894,294,396,60,60
895,329,396,60,60
896,498,393,60,60
897,538,389,60,60
898,591,363,60,60
899,657,337,60,60
900,686,311,60,60
901,855,287,60,60
902,923,268,60,60
903,944,260,60,60
904,66,562,80,80
905,96,558,88,88
906,852,218,78,78
907,915,206,68,68
908,1036,206,76,76
909,1030,201,76,76
910,1042,198,68,68
911,94,516,84,84
912,819,192,60,60
913,973,194,56,56
914,755,192,60,60
915,729,193,60,60
916,785,205,60,60
917,691,215,60,60
918,638,220,60,60
919,599,233,60,60
920,506,240,60,60
921,492,246,60,60
922,404,251,60,60
923,330,254,60,60
924,256,254,60,60
925,162,254,60,60
926,148,256,60,60
927,1029,72,60,60
928,938,76,60,60
929,845,80,72,72
930,780,103,60,60
931,709,98,60,60
932,716,111,60,60
933,628,84,58,58
934,558,82,60,60
935,497,82,60,60
936,435,83,60,60
937,506,257,60,60
938,503,255,60,60
939,305,71,60,60
940,246,66,60,60
941,188,64,60,60
942,140,67,60,60
943,84,78,60,60
944,207,243,60,60
945,25,79,60,60
946,97,232,60,60
947,54,226,60,60
948,24,224,60,60
949,11,227,60,60
951,597,42,60,60
952,521,126,60,60
953,500,122,60,60
954,900,530,60,60
955,487,120,60,60
956,487,118,60,60
957,474,111,60,60
958,464,107,60,60
959,454,104,60,60
960,851,518,60,60
961,844,518,60,60
962,446,74,60,60
963,447,63,60,60
964,447,63,60,60
965,446,64,60,60
966,442,67,60,60
967,442,66,60,60
